app_id,gap_s
buet.rafi.dictionary,485.535
buet.rafi.dictionary,485.767
bus.chio.wishmaster,448.332
bus.chio.wishmaster,450.187
bus.chio.wishmaster,2574081.873
bus.chio.wishmaster,17515.107
bus.chio.wishmaster,17075.938
bus.chio.wishmaster,31119.836
bus.chio.wishmaster,18150.708
ca.andries.portknocker,458.226
ca.andries.portknocker,473.619
ca.chancehorizon.paseo,459.651
ca.chancehorizon.paseo,461.37
ca.chancehorizon.paseo,2569560.521
ca.chancehorizon.paseo,17509.528
ca.chancehorizon.paseo,17101.248
ca.chancehorizon.paseo,31113.022
ca.chancehorizon.paseo,18144.739
ca.farrelltonsolar.classic,455.655
ca.farrelltonsolar.classic,470.284
ca.farrelltonsolar.classic,2558808.76
ca.farrelltonsolar.classic,17512.469
ca.farrelltonsolar.classic,17113.519
ca.farrelltonsolar.classic,31101.228
ca.farrelltonsolar.classic,18148.408
ca.momi.lift,453.007
ca.momi.lift,459.571
ca.ramzan.delist,454.983
ca.ramzan.delist,454.114
ca.rmen.android.frenchcalendar,467.714
ca.rmen.android.frenchcalendar,474.834
ca.rmen.android.frenchcalendar,2517071.3
ca.rmen.android.frenchcalendar,17519.281
ca.rmen.android.frenchcalendar,17130.047
ca.rmen.android.frenchcalendar,31084.468
ca.rmen.android.frenchcalendar,18147.9
ca.rmen.android.scrumchatter,476.733
ca.rmen.android.scrumchatter,465.864
ca.rmen.android.scrumchatter,2515419.472
ca.rmen.android.scrumchatter,17512.889
ca.rmen.android.scrumchatter,17155.543
ca.rmen.android.scrumchatter,31070.536
ca.rmen.android.scrumchatter,18134.617
ca.rmen.nounours,463.123
ca.rmen.nounours,467.658
ca.rmen.nounours,2514516.59
ca.rmen.nounours,17501.533
ca.rmen.nounours,17139.254
ca.rmen.nounours,31069.429
ca.rmen.nounours,18136.714
cat.jordihernandez.cinecat,477.523
cat.jordihernandez.cinecat,480.449
cat.jordihernandez.cinecat,2509267.92
cat.jordihernandez.cinecat,17488.073
cat.jordihernandez.cinecat,17126.911
cat.jordihernandez.cinecat,31077.314
cat.jordihernandez.cinecat,18129.146
cc.kafuu.bilidownload,447.491
cc.kafuu.bilidownload,477.514
cf.playhi.freezeyou,488.566
cf.playhi.freezeyou,483.236
cf.playhi.freezeyou,2496903.595
cf.playhi.freezeyou,17491.163
cf.playhi.freezeyou,17151.24
cf.playhi.freezeyou,31065.623
cf.playhi.freezeyou,18131.005
ch.abertschi.waterme.water_me,937.757
ch.abertschi.waterme.water_me,2529057.713
ch.hgdev.toposuite,945.243
ch.hgdev.toposuite,2257175.054
ch.hgdev.toposuite,17514.621
ch.hgdev.toposuite,17128.203
ch.hgdev.toposuite,31077.105
ch.hgdev.toposuite,18104.23
ch.joshuah.bibleverseapp,463.982
ch.joshuah.bibleverseapp,456.422
ch.joshuah.bibleverseapp,2256045.015
ch.joshuah.bibleverseapp,17512.042
ch.joshuah.bibleverseapp,17137.791
ch.joshuah.bibleverseapp,31079.322
ch.joshuah.bibleverseapp,18104.787
ch.mydoli.focal,458.797
ch.mydoli.focal,459.042
ch.mydoli.focal,2254452.348
ch.mydoli.focal,17504.229
ch.mydoli.focal,17146.591
ch.mydoli.focal,31074.764
ch.mydoli.focal,18099.269
cityfreqs.com.pilfershushjammer,471.555
cityfreqs.com.pilfershushjammer,473.988
cityfreqs.com.pilfershushjammer,2236070.312
cityfreqs.com.pilfershushjammer,17488.363
cityfreqs.com.pilfershushjammer,17161.046
cityfreqs.com.pilfershushjammer,31063.444
cityfreqs.com.pilfershushjammer,18290.455
cl.coders.faketraveler,458.596
cl.coders.faketraveler,455.87
cl.coders.faketraveler,2235155.012
cl.coders.faketraveler,17477.623
cl.coders.faketraveler,17173.757
cl.coders.faketraveler,31059.99
cl.coders.faketraveler,18280.824
