17578 1783934579.866769 exit(0)         = ?
17578 1783934579.867021 +++ exited with 0 +++
17577 1783934579.867081 exit(0)         = ?
17577 1783934579.867179 +++ exited with 0 +++
17579 1783934579.868263 exit(0)         = ?
17576 1783934579.868459 exit(0 <unfinished ...>
17579 1783934579.868618 +++ exited with 0 +++
17576 1783934579.868623 <... exit resumed>) = ?
17576 1783934579.868796 +++ exited with 0 +++
17593 1783934579.871626 newfstatat(AT_FDCWD, "/data", {st_mode=S_IFDIR|0771, st_size=4096, ...}, AT_SYMLINK_NOFOLLOW) = 0
17572 1783934593.684482 recvfrom(59, 0x7fe216cc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.684776 recvfrom(90, 0x75d352a420, 2272, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.685390 recvfrom(59, 0x7fe216bc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.700939 recvfrom(59, "nysv\0\0\0\0\0\0\0\0\0\0\0\0\371\356\246\204(\1\0\0%(\1\0\0\0\0\0", 3200, MSG_DONTWAIT, NULL, NULL) = 32
17572 1783934593.701524 recvfrom(59, 0x7fe216cc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.702429 recvfrom(90, 0x75d352a420, 2272, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.707315 recvfrom(59, 0x7fe216bc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.716668 recvfrom(59, "nysv\0\0\0\0\0\0\0\0\0\0\0\0;\207\245\205(\1\0\0&(\1\0\0\0\0\0", 3200, MSG_DONTWAIT, NULL, NULL) = 32
17572 1783934593.716901 recvfrom(59, 0x7fe216cc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.717117 recvfrom(90, 0x75d352a420, 2272, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.717580 recvfrom(59, 0x7fe216bc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.750903 recvfrom(59, "nysv\0\0\0\0\0\0\0\0\0\0\0\0M\217\243\206(\1\0\0'(\1\0\0\0\0\0", 3200, MSG_DONTWAIT, NULL, NULL) = 32
17572 1783934593.755944 recvfrom(59, 0x7fe216cc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.757000 recvfrom(90, 0x75d352a420, 2272, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.757592 recvfrom(59, 0x7fe216bc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.763697 recvfrom(59, "nysv\0\0\0\0\0\0\0\0\0\0\0\0\241/\240\210(\1\0\0)(\1\0\0\0\0\0", 3200, MSG_DONTWAIT, NULL, NULL) = 32
17572 1783934593.764124 recvfrom(59, 0x7fe216cc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.764507 recvfrom(90, 0x75d352a420, 2272, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.766496 recvfrom(59, 0x7fe216bc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.779681 recvfrom(59, "nysv\0\0\0\0\0\0\0\0\0\0\0\0\201\200\236\211(\1\0\0*(\1\0\0\0\0\0", 3200, MSG_DONTWAIT, NULL, NULL) = 32
17572 1783934593.780101 recvfrom(59, 0x7fe216cc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.780644 recvfrom(90, 0x75d352a420, 2272, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
17572 1783934593.783795 recvfrom(59, 0x7fe216bc30, 3200, MSG_DONTWAIT, NULL, NULL) = -1 EAGAIN (Try again)
