package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s1,6,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,test,2,1,224,0.840603768825531
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,test,2,1,224,-0.0
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,test,2,1,224,-0.0
ch.hgdev.toposuite,05e3f19e2717_llm_s3,6,test,2,1,224,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,train,2,2,474,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,train,2,2,474,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,train,2,2,474,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,train,2,2,474,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,train,2,2,474,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,train,2,2,474,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,train,2,2,474,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s1,7,train,2,2,474,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s1,8,train,2,2,474,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s1,9,train,2,2,474,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s1,10,train,2,2,474,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,train,2,2,661,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,train,2,2,661,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,train,2,2,661,-0.0
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,train,2,2,661,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,train,2,2,661,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,train,2,2,661,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,train,2,2,661,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s2,7,train,2,2,661,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s2,8,train,2,2,661,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s2,9,train,2,2,661,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s2,10,train,2,2,661,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,train,2,2,498,-0.0
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,train,2,2,498,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,train,2,2,498,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,train,2,2,498,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,train,2,2,498,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s3,5,train,2,2,498,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s3,6,train,2,2,498,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s3,7,train,2,2,498,0.840603768825531
ca.rmen.nounours,0e7da7b17b63_llm_s3,8,train,2,2,498,0.4203018844127655
ca.rmen.nounours,0e7da7b17b63_llm_s3,9,train,2,2,498,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,2,1,106,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s1,4,test,3,3,106,0.560402512550354
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,2,1,101,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s2,1,test,2,1,101,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s2,2,test,2,1,101,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s2,3,test,3,3,101,0.560402512550354
app.ladefuchs.android,0f0dc4577a45_llm_s2,4,test,3,3,101,0.560402512550354
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,2,1,113,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s3,1,test,2,1,113,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s3,2,test,2,1,113,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s3,3,test,2,1,113,0.840603768825531
app.ladefuchs.android,0f0dc4577a45_llm_s3,4,test,3,3,113,0.280201256275177
