epoch,loss
1,1.0001629495454583
2,0.7892139849062368
3,0.7285534266560121
4,0.8710642610098567
5,0.8204518056250314
6,0.749746476755592
7,0.7278774788688419
8,0.6961901709442757
9,0.821912519998509
10,0.7114926727547386
11,0.7775369715536504
12,0.743969786241903
13,0.7480555458752055
14,0.7052549355177661
15,0.732745037918404
16,0.7427235500245987
17,0.7171952044076161
18,0.726999569241372
19,0.6894137114184496
20,0.7250862928196347
21,0.7486212991132615
22,0.7499876350226045
23,0.6415810613967354
24,0.6879987804154654
25,0.7726929857228958
26,0.6592474410733432
27,0.7908972097403716
28,0.7313362445728591
29,0.8220286389051851
30,0.7746555527005562
31,0.8143583995763406
32,0.7059645275212505
33,0.7168605004237689
34,0.7225878474702438
35,0.8268975596227324
36,0.789476847444656
37,0.7545179815557349
38,0.7985874193755088
39,0.8384752215724073
40,0.6999001057447474
41,0.7579494723600384
42,0.7511921446532731
43,0.7151228419989418
44,0.7998543813875765
45,0.7617539328912688
46,0.8183794356826638
47,0.7401381242913223
48,0.6573590109622872
49,0.6838192470422564
50,0.8035751848007205
51,0.7459970694083967
52,0.810594617253764
53,0.7672184966774317
54,0.6972680916320751
55,0.7663582193801967
56,0.7670010524754857
57,0.7287875858064232
58,0.80263749497895
59,0.6783280148588152
60,0.8040294949521303
61,0.6947838055676281
62,0.6816053302165263
63,0.7618889521384768
64,0.7139563986066488
65,0.7631238021453803
66,0.7548772925494778
67,0.7622504842273721
68,0.7053273934216724
69,0.7620985115448232
70,0.8378963248530279
71,0.7038430302562231
72,0.8218169552248681
73,0.6960340094201913
74,0.6966258611159752
75,0.6852687200546885
76,0.7064060933688643
77,0.7645142249266523
78,0.7242475561650609
79,0.7676639570093867
80,0.7746178407522281
81,0.719306548135441
82,0.7091874579249798
83,0.7601664701096972
84,0.8246258454335927
85,0.7085062675369235
86,0.6304964622359537
87,0.795053175657027
88,0.860879380884738
89,0.7184745144039434
90,0.8063261393675778
91,0.7976732161769431
92,0.7661648183181192
93,0.8116535343206694
94,0.7501430275837399
95,0.7093717078721241
96,0.7455661176648705
97,0.7454693672590395
98,0.7767074122244917
99,0.8017609648812644
100,0.7963686964523481
101,0.8451722558897848
102,0.9135174757132293
103,0.7813007201551613
104,0.9906173905711426
105,0.7700450781809928
106,0.8432174682815278
107,0.7905303362471472
108,0.7223257690389181
109,0.6949850458665308
110,0.7920545667820802
111,4.072201108410695
112,0.8119209236473532
113,0.7485729822835971
114,0.8190424935389762
115,0.8520098037422256
116,1.085023152327242
117,0.9245202600335817
118,0.9375772063542127
119,0.9031936954843078
120,0.9045031680241573
121,0.9852442349009635
122,0.8767453772036753
123,0.9122657193687898
124,0.8063718828503947
125,0.732092404104427
126,0.803582266618446
127,3.4608682839504934
128,0.9290552639099674
129,0.8641313916115214
130,1.126576434580872
131,1.0984289376308154
132,1.3856579417930521
133,1.5575165362917769
134,1.7557550424308213
135,1.8829625563257144
136,2.0306091441765117
137,2.1729949447457555
138,2.328523322464224
139,2.36766214790147
140,2.3598790127377347
141,2.389560485664629
142,2.4241292853466763
143,2.250052668023564
144,2.177789556638108
145,2.040062684371185
146,1.9479386859511796
147,1.7985279126018188
148,1.7305303921920656
149,1.6218731361073788
150,1.4471388760519617
151,1.2078812128897547
152,1.049347373337492
153,1.166911063326153
154,1.109984648885076
155,0.8764546954175453
156,0.9838283369634405
157,0.9635160316651592
158,2.8380946263619
159,0.8127577748109679
160,0.953129903589585
161,0.9852963974626063
162,1.2155473174679485
163,1.4010968356375577
164,1.5390982167991625
165,1.6847093280529368
166,1.805689156558736
167,1.9788552385394684
168,1.9554183689300846
169,1.9152945675248303
170,2.12796088112933
171,1.8856844631886325
172,1.7623788720326992
173,1.7486944691102007
174,1.5717172055008501
175,1.4210015941899636
176,1.336755620457808
177,1.1873145032043615
178,1.0611630398292142
179,1.020609636007154
180,0.8848826665952986
181,0.9619517570824595
182,0.7239132701839988
183,6.8367450937161465
184,2.062168213340879
185,0.8427529669063232
186,0.9935205483866051
187,1.470570862295988
188,1.728875982902875
189,2.198936811208608
190,2.5889608623268408
191,3.0751231369799332
192,3.6342483401259584
193,4.025792359350187
194,4.590968807243526
195,4.9503077714187205
196,5.25298403232429
197,5.31971088651274
198,5.5249962118885865
199,5.916928376223633
200,5.545880515507401
201,5.70305811452661
202,5.3366033156704225
203,5.235861010480608
204,4.982117871094551
205,4.583780260036233
206,4.28352641453379
207,3.8595816974815342
208,3.351266778949649
209,3.002406554487347
210,2.590260087147368
211,2.12604805516459
212,1.793415563101996
213,1.5241719807684588
214,1.4431529568435377
215,1.2658348093164706
216,7.010538137644425
217,4.79423958473297
218,0.9618014648873279
219,1.1470755971366153
220,1.1482242217678327
221,1.3535301665911927
222,1.5011221090219518
223,1.6344533476401715
224,1.86688335703118
225,2.012660396408153
226,2.056922122759421
227,2.284027068852734
228,2.1551790457553124
229,2.2049557386945744
230,2.3574833282449092
231,2.190261670410008
232,2.2642163183295376
233,2.266405684736765
234,2.097696842033127
235,2.047577400357012
236,1.9520857492445818
237,2.0331312421624523
238,1.8932622033568316
239,1.76807464934751
240,1.705073733228101
241,1.592412159820211
242,1.5857675059971184
243,1.5187348652986374
244,1.4125809209233269
245,1.3004044458765913
246,1.2491107392353131
247,1.232485494701638
248,1.2640364607505046
249,1.0911737090317006
250,1.361889997311638
251,1.1022691498470174
252,0.9982370383068514
253,1.1681427823742216
254,1.0742270560075626
255,0.967569425248361
256,1.0189953094919442
257,1.068493187318822
258,1.0652997481217081
259,0.9026098259313239
260,0.9703533344749464
261,0.8617575567024454
262,0.8217095413940052
263,1.0536775236497382
264,0.8165943016015373
265,0.7346597660239986
266,0.9552072210089154
267,0.8839086092813652
268,0.8009199434689226
269,0.7874059512705238
270,0.7699020370196595
271,0.9698380528258013
272,0.9136580124544492
273,0.9059142613949411
274,0.70957018674685
275,0.7890181350894925
276,0.8367078555694407
277,0.8521840806916026
278,0.7584222749332495
279,0.8224467656127616
280,0.8935805701077589
281,0.8765282198164065
282,0.9097008025866025
283,0.8308486374182816
284,0.7588834224911711
285,0.8497936914927148
286,0.7593114203663326
287,0.7333884183125929
288,0.8899851777209654
289,0.7369221571289861
290,0.748102495980085
291,0.7991667941456294
292,0.854477015872542
293,0.8126448258750307
294,0.7925472907242062
295,0.8906847878688781
296,0.712228023101108
297,0.71348726789457
298,0.8920368940169399
299,1.0464548046800488
300,0.7696585869498179
