experiment,module,representation,method,detector,split,seed,raw_auc,auc_floor,direction,ci_low,ci_high,ci_type,clears_size_floor,clears_ocpool,is_headline,is_superseded,artifact_path,summary_path,trace_flag
supgnn,supgnn,T22_max,M2_no_edges,GIN_mean_seeds,splitA_stratified,42-46,0.8886441385064664,0.8886441385064664,malware_higher_score,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitA/splitA_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_max,M3_const_feats,GIN_mean_seeds,splitA_stratified,42-46,0.678840216937839,0.678840216937839,malware_higher_score,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/supgnn/splitA/splitA_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_mean,M1_full,GIN_weighted_mean_auc_floor,splitB_ward30,42,0.7903532271361647,0.7903532271361647,see_per_fold,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_mean,M1_full,GIN_pooled_oof,splitB_ward30,42,0.7616633291614519,0.7616633291614519,malware_higher_score,,,none,True,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_mean,M2_no_edges,GIN_weighted_mean_auc_floor,splitB_ward30,42,0.8053693504010251,0.8053693504010251,see_per_fold,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_mean,M2_no_edges,GIN_pooled_oof,splitB_ward30,42,0.7842760394938116,0.7842760394938116,malware_higher_score,,,none,True,True,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_mean,M3_const_feats,GIN_weighted_mean_auc_floor,splitB_ward30,42,0.7433104939138332,0.7433104939138332,see_per_fold,,,per_fold_std,True,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_mean,M3_const_feats,GIN_pooled_oof,splitB_ward30,42,0.6047909887359199,0.6047909887359199,malware_higher_score,,,none,False,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_add,M1_full,GIN_weighted_mean_auc_floor,splitB_ward30,42,0.7774124956513043,0.7774124956513043,see_per_fold,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_add,M1_full,GIN_pooled_oof,splitB_ward30,42,0.6771649283827006,0.6771649283827006,malware_higher_score,,,none,False,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_add,M2_no_edges,GIN_weighted_mean_auc_floor,splitB_ward30,42,0.7807531445203559,0.7807531445203559,see_per_fold,,,per_fold_std,True,True,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_add,M2_no_edges,GIN_pooled_oof,splitB_ward30,42,0.8027869559171188,0.8027869559171188,malware_higher_score,,,none,True,True,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_add,M3_const_feats,GIN_weighted_mean_auc_floor,splitB_ward30,42,0.771239893190875,0.771239893190875,see_per_fold,,,per_fold_std,True,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_add,M3_const_feats,GIN_pooled_oof,splitB_ward30,42,0.5862873731052705,0.5862873731052705,malware_higher_score,,,none,False,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_max,M1_full,GIN_weighted_mean_auc_floor,splitB_ward30,42,0.7717990626011424,0.7717990626011424,see_per_fold,,,per_fold_std,True,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_max,M1_full,GIN_pooled_oof,splitB_ward30,42,0.7413030176609651,0.7413030176609651,malware_higher_score,,,none,True,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_max,M2_no_edges,GIN_weighted_mean_auc_floor,splitB_ward30,42,0.7577753285168531,0.7577753285168531,see_per_fold,,,per_fold_std,True,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_max,M2_no_edges,GIN_pooled_oof,splitB_ward30,42,0.7783510638297872,0.7783510638297872,malware_higher_score,,,none,True,True,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_max,M3_const_feats,GIN_weighted_mean_auc_floor,splitB_ward30,42,0.6349243513145737,0.6349243513145737,see_per_fold,,,per_fold_std,False,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
supgnn,supgnn,T22_max,M3_const_feats,GIN_pooled_oof,splitB_ward30,42,0.5015237101932971,0.5015237101932971,malware_higher_score,,,none,False,False,False,False,abrg/output/androct_2017/supgnn/splitB/splitB_results.json,abrg/output/androct_2017/supgnn/SUMMARY.md,
