package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
app.fedilab.castlab,5719f3b34f71_llm_s1,0,train,2,2,174,0.6961411833763123
app.fedilab.castlab,5719f3b34f71_llm_s1,1,train,3,3,174,0.6961411833763123
app.fedilab.castlab,5719f3b34f71_llm_s1,2,train,3,4,174,0.6961411833763123
cat.mvmike.minimalcalendarwidget,3b7d66351a6d_llm_s1,7,test,2,2,817,0.6961411833763123
cat.mvmike.minimalcalendarwidget,3b7d66351a6d_llm_s1,6,test,2,2,817,0.6961411833763123
at.bitfire.davdroid,635f2031ec56_llm_s1,0,train,2,2,269,0.6961411833763123
at.bitfire.davdroid,635f2031ec56_llm_s1,1,train,2,2,269,0.6961411833763123
at.bitfire.davdroid,635f2031ec56_llm_s1,2,train,2,2,269,0.6961411833763123
at.bitfire.davdroid,635f2031ec56_llm_s1,3,train,3,2,269,0.6961411833763123
cat.mvmike.minimalcalendarwidget,3b7d66351a6d_llm_s1,5,test,2,2,817,0.6961411833763123
cat.mvmike.minimalcalendarwidget,3b7d66351a6d_llm_s1,4,test,2,1,817,0.6961411833763123
ch.logixisland.anuto,3b57a70201d6_llm_s1,1,train,2,1,9,0.6961411833763123
ch.logixisland.anuto,3b57a70201d6_llm_s1,0,train,2,1,9,0.6961411833763123
bus.chio.wishmaster,39f811f07c23_llm_s1,0,train,2,1,52,0.6961411833763123
com.activitymanager,321daeb8a717_llm_s1,2,train,2,1,68,0.6961411833763123
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,2,train,3,5,2137,0.6961411833763123
ca.littlesvr.everyonestimetable,22f89723dffa_llm_s1,5,train,3,2,135,0.6961411833763123
cf.playhi.freezeyou,86b80fef253c_llm_s1,5,train,4,5,300,0.6961411833763123
com.activitymanager,321daeb8a717_llm_s1,1,train,2,1,68,0.6961411833763123
ca.voiditswarranty.roadtripradar,885b48bee226_llm_s1,0,train,3,4,594,0.6961411833763123
ca.littlesvr.everyonestimetable,22f89723dffa_llm_s1,0,train,3,2,135,0.6961411833763123
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,8,train,2,2,97,0.6961411833763123
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,7,train,2,2,97,0.6961411833763123
